t,x,y,i
206,42807,373767.753017523,1
207,42835,373264.214813561,1
208,42864,375681.741794253,1
209,42864,372676.552292154,1
210,42869,377646.986964554,1
211,42880,375415.461823945,1
212,42909,375142.540964099,1
213,42929,375069.96678145,1
214,42945,376426.802008177,1
215,42962,375787.565937305,1
216,42975,377921.000392525,1
217,42983,375739.967765218,1
218,42995,376113.701899285,1
219,43004,377746.304890027,1
220,43025,376121.016793864,1
221,43038,376740.676950611,1
222,43058,375061.411106371,1
223,43067,376797.167511691,1
224,43070,374983.457767405,1
225,43074,377757.625473718,1
226,43075,374777.164451316,1
227,43075,376253.722632121,1
228,43102,376581.970532515,1
229,43114,377263.58076928,1
230,43121,376280.456985624,1
231,43128,377360.460629171,1
232,43137,378881.737429862,1
233,43162,379992.175920294,1
234,43182,375624.544964127,1
235,43196,377050.68475345,1
236,43211,379076.167329054,1
237,43217,378764.8359929,1
238,43233,379084.860234994,1
239,43241,377763.010168654,1
240,43256,381084.734243179,1
241,43271,379018.289190096,1
242,43290,378749.897987144,1
243,43302,375744.560574052,1
244,43316,379865.760612517,1
245,43343,380687.606934436,1
246,43360,379525.584021032,1
247,43381,379841.418619746,1
248,43383,378273.870353348,1
249,43410,378577.325927868,1
250,43420,379669.02630255,1
251,43430,381029.160182853,1
252,43438,379267.418202192,1
253,43447,381465.373233784,1
254,43470,378901.3079128,1
255,43491,380241.454227197,1
256,43516,379934.220010354,1
257,43540,381693.855168266,1
258,43556,380592.44428547,1
259,43575,382107.168421862,1
260,43594,383639.419888766,1
261,43619,382701.309682313,1
262,43621,383591.72776052,1
263,43624,379829.999830368,1
264,43643,380139.054266373,1
265,43659,383325.613599992,1
266,43664,381174.064364502,1
267,43687,380772.695423719,1
268,43703,381553.885054387,1
269,43709,383400.42407847,1
270,43709,383557.269815027,1
271,43732,380738.306704127,1
272,43759,379943.785554836,1
273,43771,383754.705689714,1
274,43795,383245.201496537,1
275,43805,383123.368646954,1
276,43824,382533.202484245,1
277,43832,383181.253647296,1
278,43852,382999.866530543,1
279,43856,384976.728009219,1
280,43882,384090.610691063,1
281,43885,384135.259494604,1
282,43885,382610.706150153,1
283,43892,383915.234725376,1
284,43905,382451.446586383,1
285,43909,382951.647489254,1
286,43919,383424.235739939,1
287,43933,383044.729232372,1
288,43949,382750.752666599,1
289,43977,386593.854062742,1
290,43995,384873.237239854,1
291,43997,383508.108331243,1
292,44000,383747.172674867,1
293,44030,385781.506190689,1
294,44040,386282.794977631,1
295,44049,384754.306712953,1
296,44064,384752.211339224,1
297,44071,388614.634984231,1
298,44083,386297.51579103,1
299,44102,384890.915387966,1
300,44128,385459.085436505,1
301,44154,385144.766620084,1
302,44159,385775.9697115,1
303,44180,388113.315311321,1
304,44195,386055.382271467,1
305,44219,387084.451069194,1
306,44243,386873.588365714,1
307,44273,386244.413150676,1
308,44276,385914.960366694,1
309,44294,388137.254243277,1
310,44317,386766.489043662,1
311,44346,387032.314863136,1
312,44349,389718.68141804,1
313,44364,387423.402480497,1
314,44365,388041.224574648,1
315,44366,388880.810703125,1
316,44373,387848.979063441,1
317,44374,387326.348713446,1
318,44389,386913.911080804,1
319,44394,388059.526963522,1
320,44401,387381.694546433,1
321,44414,388494.182989387,1
322,44414,389019.447956666,1
323,44434,388526.543237939,1
324,44464,388707.902824766,1
325,44487,387883.52132047,1
326,44489,389311.294732277,1
327,44514,390013.53179266,1
328,44541,389269.538523453,1
329,44546,391723.128823971,1
330,44574,391120.033847384,1
331,44578,391495.05487632,1
332,44589,388080.091739672,1
333,44606,390124.607519961,1
334,44617,389432.087197739,1
335,44644,389518.272780356,1
336,44661,392294.225055813,1
337,44686,390008.35582377,1
338,44687,391225.213803845,1
339,44694,391118.532987956,1
340,44713,391737.361667547,1
341,44735,392810.601035029,1
342,44761,392801.712329642,1
343,44765,390011.190117027,1
344,44792,392933.980133207,1
345,44794,391029.14843362,1
346,44815,392401.612001094,1
347,44828,391879.025791414,1
348,44837,391179.166746011,1
349,44862,394253.132883956,1
350,44890,393243.204450891,1
351,44900,393570.167115358,1
352,44929,395021.584472623,1
353,44937,391636.233342241,1
354,44964,394630.040199514,1
355,44979,393638.090523301,1
356,45006,393127.058290534,1
357,45032,395496.226431831,1
358,45047,393929.165692047,1
359,45073,395507.594956519,1
360,45099,393327.908573584,1
361,45126,395026.176744684,1
362,45140,394063.937078058,1
363,45169,394688.038102258,1
364,45199,394373.670486017,1
365,45216,396176.602971015,1
366,45235,394633.070759667,1
367,45238,396571.796355423,1
368,45259,397471.698769998,1
369,45276,394548.559383222,1
370,45292,397787.621617229,1
371,45317,395804.838723335,1
372,45321,397186.234183306,1
373,45347,396034.374667509,1
374,45353,394625.849393064,1
375,45371,398119.62671682,1
376,45380,396696.579264899,1
377,45391,396963.550531571,1
378,45406,396579.385843139,1
379,45408,398311.440503847,1
380,45426,396395.18337437,1
381,45454,397315.122787204,1
382,45461,397565.219346831,1
383,45474,398066.038632361,1
384,45486,395694.251100451,1
385,45512,397732.327403885,1
386,45528,398857.622929869,1
387,45542,397165.427944123,1
388,45565,399337.791927622,1
389,45569,400824.117383766,1
390,45574,399679.591676144,1
391,45584,397365.780678014,1
392,45584,399429.817373592,1
393,45604,398392.123271282,1
394,45612,398312.478939177,1
395,45620,398851.663259296,1
396,45648,399844.371056406,1
397,45667,398253.188043671,1
398,45691,399829.878403252,1
399,45716,400158.317347547,1
400,45718,398168.183035491,1
401,45731,397961.93209623,1
402,45748,399188.888052084,1
403,45770,401263.001057877,1
404,45783,399963.262800057,1
405,45804,400451.21043799,1
406,45804,401579.199465862,1
407,45805,402420.185462219,1
408,45829,402532.59198018,1
409,45832,400092.106784483,1
410,45858,400678.094310698,1
411,45884,402351.600584088,1
412,45905,401640.941444411,1
413,45931,403974.735673608,1
414,45941,402555.960438614,1
415,45965,403281.565792938,1
416,45965,401007.757132028,1
417,45975,402917.353102557,1
418,46004,401409.645293114,1
419,46027,402017.461795978,1
420,46052,404759.447101269,1
421,46081,403425.756329178,1
422,46100,401245.296197201,1
423,46113,403982.734101874,1
424,46118,403743.265564351,1
425,46138,404075.98647268,1
426,46147,404121.450565317,1
427,46155,405485.50440273,1
428,46172,403964.205430352,1
429,46198,403889.393853325,1
430,46210,405511.835418077,1
431,46226,406400.600787167,1
432,46245,406225.277714945,1
433,46272,405455.368555153,1
434,46284,403467.957571342,1
435,46296,405576.287641634,1
436,46313,404305.404372676,1
437,46331,406232.854395698,1
438,46340,405706.003306541,1
439,46359,407043.528140911,1
440,46365,406018.987149619,1
441,46371,404078.499091992,1
442,46378,406241.899167069,1
443,46387,407043.560212787,1
444,46416,406150.827591319,1
445,46418,406887.014962123,1
446,46426,406482.753115227,1
447,46429,405276.558914771,1
448,46445,406504.945621739,1
449,46458,407304.300760801,1
450,46467,407229.697200611,1
451,46471,406378.959078092,1
452,46474,406217.327994019,1
453,46504,406615.604434014,1
454,46523,407578.369401746,1
455,46544,408318.114916809,1
456,46550,406184.857332306,1
457,46553,406607.912940967,1
458,46562,406513.441854916,1
459,46585,408528.59540685,1
460,46600,408792.021873718,1
461,46619,406625.678826328,1
462,46622,408595.065563508,1
463,46647,408774.030839145,1
464,46647,406583.548057333,1
465,46675,408687.16643237,1
466,46679,409412.272336066,1
467,46701,405316.934687564,1
468,46723,408371.935597028,1
469,46730,408182.177400182,1
470,46744,409730.859339018,1
471,46771,408551.235145957,1
472,46772,407853.791491219,1
473,46789,409977.756030994,1
474,46806,411061.845536094,1
475,46830,410777.698011095,1
476,46854,409237.734158723,1
477,46884,410650.140972867,1
478,46902,409401.295473854,1
479,46913,411586.616269725,1
480,46924,411067.280402055,1
481,46926,411994.874679206,1
482,46956,410861.800003449,1
483,46978,410567.69639673,1
484,47000,410577.426865016,1
485,47015,410349.034633197,1
486,47024,412022.276106253,1
487,47048,411746.152663422,1
488,47063,413682.5678057,1
489,47085,413492.743004098,1
490,47110,412439.414608188,1
491,47114,413420.66987192,1
492,47122,410935.468600025,1
493,47145,410849.266895634,1
494,47166,412597.06560401,1
495,47181,414397.227685897,1
496,47183,415439.729727963,1
497,47189,411654.511358505,1
498,47191,411807.656651933,1
499,47205,415383.905295458,1
500,47224,412655.522236791,1
501,47225,413536.324767576,1
502,47245,412889.068880382,1
503,47260,413897.112539304,1
504,47279,413525.771367925,1
505,47288,413471.118888273,1
506,47298,411952.906550652,1
507,47319,410968.972932116,1
508,47331,412065.361365211,1
509,47349,414301.700665778,1
510,47352,416035.647823309,1
511,47352,412377.721581375,1
512,47358,414052.439524257,1
513,47379,414359.529378298,1
514,47395,413379.823243704,1
515,47395,415186.334208652,1
516,47405,413821.207119287,1
517,47414,413374.994503227,1
518,47428,413874.862419755,1
519,47428,415465.986801925,1
520,47458,415326.50823314,1
521,47478,414958.314390525,1
522,47482,415449.412954761,1
523,47508,415166.510584296,1
524,47530,417309.055858869,1
525,47539,415978.080308663,1
526,47558,415315.354725111,1
527,47576,415566.603149142,1
528,47583,414863.937251425,1
529,47612,418584.360683958,1
530,47622,416155.412194323,1
531,47637,416548.79843041,1
532,47661,417891.007154981,1
533,47662,415053.876347252,1
534,47671,414893.563159342,1
535,47686,416866.535159821,1
536,47689,415943.041681118,1
537,47702,419337.486771801,1
538,47725,416223.161072284,1
539,47749,418058.311438759,1
540,47777,417988.054668378,1
541,47779,416379.951328386,1
542,47787,418199.773123858,1
543,47789,416938.286914418,1
544,47789,417262.834346505,1
545,47799,417877.774113743,1
546,47809,418477.297196158,1
547,47831,418539.952224205,1
548,47855,421192.167438656,1
549,47855,418866.925102893,1
550,47858,419356.910659947,1
551,47871,417842.544404479,1
552,47880,417990.92004598,1
553,47893,420822.112320184,1
554,47920,418774.393156114,1
555,47935,420843.409121466,1
556,47952,418833.909091572,1
557,47966,417505.461745779,1
558,47992,418831.254637991,1
559,48009,419873.464471509,1
560,48021,420114.428418374,1
561,48032,419332.042634402,1
562,48057,421136.374328494,1
563,48058,419831.973967354,1
564,48085,420432.918199596,1
565,48092,419088.853825183,1
566,48102,420033.389827087,1
567,48121,421893.511016687,1
568,48131,419709.450352383,1
569,48149,421947.549540079,1
570,48162,420890.955603726,1
571,48189,423050.208272389,1
572,48205,420555.866881085,1
573,48206,420373.061245155,1
574,48207,420213.349469182,1
575,48237,422608.947121183,1
576,48259,422146.878356279,1
577,48280,422575.902810961,1
578,48280,423109.807941553,1
579,48283,423806.472305668,1
580,48297,421637.01795584,1
581,48298,424678.173546127,1
582,48320,421825.393754232,1
583,48333,423410.169836149,1
584,48362,423889.670601693,1
585,48385,424109.014539895,1
586,48388,424285.768278475,1
587,48406,422867.45405699,1
588,48426,423878.826085171,1
589,48438,426277.308275625,1
590,48454,422827.324748088,1
591,48455,424778.747168964,1
592,48482,423863.500926294,1
593,48487,424181.379439038,1
594,48509,422401.84717713,1
595,48509,423684.232525081,1
596,48533,426635.243432763,1
597,48539,422935.928220705,1
598,48567,422573.033083901,1
599,48573,423730.088850306,1
600,48588,425069.277026808,1
601,48593,425837.316978302,1
602,48600,424541.758196741,1
603,48623,425455.731964075,1
604,48630,423827.453623414,1
605,48660,426070.742705542,1
606,48673,426655.222773864,1
607,48703,424227.623136207,1
608,48723,424558.070716733,1
609,48744,426877.727114161,1
610,48744,426280.569957829,1
611,48750,425936.618094607,1
612,48757,425117.935409536,1
613,48771,425790.60630771,1
614,48779,424612.20420667,1
615,48782,423806.562140697,1
616,48784,425520.370110779,1
617,48786,426683.906265419,1
618,48787,426882.570097314,1
619,48805,426797.174361462,1
620,48832,429032.18872864,1
621,48836,425570.691627209,1
622,48851,428409.83268219,1
623,48880,428075.223510647,1
624,48906,427126.905711035,1
625,48923,428069.807028411,1
626,48943,426215.253930028,1
627,48954,426740.787028024,1
628,48958,428708.780490557,1
629,48978,429330.887794701,1
630,48978,425486.213093206,1
631,48994,428713.311815959,1
632,48994,429277.90562886,1
633,49004,427840.51470622,1
634,49011,429313.160160316,1
635,49018,428466.454155136,1
636,49030,428065.359912204,1
637,49030,427491.382151496,1
638,49033,426011.379508084,1
639,49054,429380.199921209,1
640,49057,429938.126653102,1
641,49086,431577.687099387,1
642,49107,431104.389001964,1
643,49113,428565.957849289,1
644,49131,429627.81953861,1
645,49147,429726.094726302,1
646,49156,430751.835033946,1
647,49183,431819.463079568,1
648,49200,430939.868142979,1
649,49209,429974.36405093,1
650,49230,431478.019282728,1
651,49255,429774.146133933,1
652,49283,432332.763732095,1
653,49295,431717.290282624,1
654,49298,430847.372170303,1
655,49312,431655.38484965,1
656,49326,430951.678512241,1
657,49350,431486.478670622,1
658,49364,431581.135458889,1
659,49392,432885.362467706,1
660,49412,432870.906124204,1
661,49412,434833.556628432,1
662,49440,434885.401728838,1
663,49445,431872.31338376,1
664,49474,433720.198503473,1
665,49479,434197.817854546,1
666,49489,432863.766976358,1
667,49517,432606.012699286,1
668,49530,435402.499361493,1
669,49558,434002.308940388,1
670,49587,432083.702186476,1
671,49590,433613.551310075,1
672,49620,433226.619952058,1
673,49626,433327.120634853,1
674,49628,433498.754803449,1
675,49641,434329.025987137,1
676,49644,433568.834346047,1
677,49673,433586.908022781,1
678,49696,435244.798946083,1
679,49708,435446.326563699,1
680,49723,434969.810711276,1
681,49723,435546.060912388,1
682,49726,433961.776311353,1
683,49728,436451.809567435,1
684,49731,433679.414070307,1
685,49742,435758.801525259,1
686,49768,436457.352808364,1
687,49770,434916.943423132,1
688,49784,434482.048654756,1
689,49814,437186.134541595,1
690,49840,435402.420463978,1
691,49866,439185.339815951,1
692,49883,435454.976597814,1
693,49889,436329.602116606,1
694,49909,438433.163738901,1
695,49918,434763.759631361,1
696,49935,439075.447725912,1
697,49961,435693.103973539,1
698,49989,438204.784499923,1
699,50009,437213.416235024,1
700,50021,437360.308184574,1
701,50036,439963.198864691,1
702,50037,437370.687697619,1
703,50059,437035.099212094,1
704,50068,437070.344691403,1
705,50081,438279.378321232,1
706,50090,439404.353996362,1
707,50095,437363.258233435,1
708,50109,438629.863368589,1
709,50128,438884.447146686,1
710,50139,438411.5599584,1
711,50154,436210.158622167,1
712,50175,437750.076858168,1
713,50196,438877.49530817,1
714,50199,439331.077336646,1
715,50224,439244.179302312,1
716,50225,439408.985620062,1
717,50239,439358.097436274,1
718,50263,439506.85660216,1
719,50269,440152.249346525,1
720,50290,438134.344971149,1
721,50306,438898.597979904,1
722,50307,438143.199160453,1
723,50336,441953.616248126,1
724,50354,438999.262172405,1
725,50372,441502.536033712,1
726,50374,440139.582717652,1
727,50386,439219.861636413,1
728,50400,441288.697686214,1
729,50409,439746.584147945,1
730,50431,442547.50919498,1
731,50432,441478.163832849,1
732,50436,439361.940044151,1
733,50465,440739.828189726,1
734,50485,441673.794704786,1
735,50503,441619.768026438,1
736,50522,441924.561582812,1
737,50549,438360.937772933,1
738,50562,441330.949785835,1
739,50584,442906.464174747,1
740,50588,443735.728686708,1
741,50603,440225.392110929,1
742,50625,443554.278675452,1
743,50645,442823.682699373,1
744,50664,445934.039196615,1
745,50694,444347.753923427,1
746,50694,444938.591885757,1
747,50700,443787.409364138,1
748,50703,443395.659025554,1
749,50726,444124.331251883,1
750,50747,445135.660349141,1
751,50772,443305.70533566,1
752,50790,444741.274985991,1
753,50807,443154.244835556,1
754,50814,445083.739131848,1
755,50825,444909.420928163,1
756,50826,446840.748685406,1
757,50833,444095.968699116,1
758,50840,442997.818464816,1
759,50867,446247.317866789,1
760,50891,445212.79226326,1
761,50909,446516.67968011,1
762,50915,445789.991151243,1
763,50915,444996.904007386,1
764,50923,446331.000407343,1
765,50949,445269.669702589,1
766,50964,444272.190203835,1
767,50988,445725.308488809,1
768,51005,443958.159928306,1
769,51006,446953.443424759,1
770,51010,447478.1973435,1
771,51016,445504.378864241,1
772,51032,446479.220943228,1
773,51036,443437.780965539,1
774,51052,446310.915889746,1
775,51055,446160.551826027,1
776,51056,446897.232776401,1
777,51072,449394.672355298,1
778,51091,445452.539644075,1
779,51113,447321.039079516,1
780,51121,445976.206766503,1
781,51127,449028.719628781,1
782,51134,449239.39207874,1
783,51163,447668.445066682,1
784,51177,446889.952879974,1
785,51201,448373.917829044,1
786,51226,448285.356120695,1
787,51230,447602.599517275,1
788,51256,448963.933978081,1
789,51271,447978.369358736,1
790,51286,449237.891730908,1
791,51309,448531.739213158,1
792,51309,448787.854529607,1
793,51339,449809.761348486,1
794,51350,447934.583725729,1
795,51356,448266.020299286,1
796,51376,450922.628903533,1
797,51376,450081.742087315,1
798,51403,450243.343730142,1
799,51427,447793.294135169,1
800,51433,450455.605716137,1
801,51436,450232.739386515,1
802,51466,448285.915824801,1
803,51467,449206.316776627,1
804,51496,450534.352585003,1
805,51509,449634.820164103,1
806,51526,450360.287836441,1
807,51531,451322.439381527,1
808,51548,451789.099323304,1
809,51569,451159.5419099,1
810,51593,450121.819718805,1
811,51620,450712.21937657,1
812,51620,450690.033448336,1
813,51622,453188.462047242,1
814,51637,451174.364613014,1
815,51641,451499.017224913,1
816,51652,452424.773846665,1
817,51652,454033.754939707,1
818,51666,452264.882834094,1
819,51668,451330.923182662,1
820,51669,452133.372173123,1
821,51690,451349.206256371,1
822,51704,451773.225072066,1
823,51709,450178.668012296,1
824,51738,451261.473227391,1
825,51752,451625.589150625,1
826,51752,453769.388526124,1
827,51763,452710.237338493,1
828,51783,451918.144015138,1
829,51792,451638.25998486,1
830,51802,454254.755407922,1
831,51814,453145.458116923,1
832,51835,452143.877006275,1
833,51851,454065.470666033,1
834,51862,453939.657378479,1
835,51881,454137.171533202,1
836,51909,453793.160170679,1
837,51915,453641.718537131,1
838,51934,454250.15065573,1
839,51954,455184.319308117,1
840,51976,453859.326917179,1
841,51985,453968.745852247,1
842,52014,457680.62454856,1
843,52026,456035.569242363,1
844,52046,458022.217767633,1
845,52050,454478.489716818,1
846,52068,455296.539853363,1
847,52092,457810.328883402,1
848,52106,456303.095857384,1
849,52112,456084.469787295,1
850,52117,455073.023168283,1
851,52118,455038.039676956,1
852,52123,454248.442297254,1
853,52126,454765.506748922,1
854,52149,454952.967767333,1
855,52170,456640.806965172,1
856,52190,456618.020385499,1
857,52202,458022.710182724,1
858,52211,458774.482612684,1
859,52232,455065.310372687,1
860,52254,458428.039153977,1
861,52274,456396.329028433,1
862,52291,458343.476533824,1
863,52312,459117.231272037,1
864,52325,456866.679060818,1
865,52350,458399.279326553,1
866,52350,457312.55007937,1
867,52379,459122.874080871,1
868,52392,458912.587983522,1
869,52394,458470.015727931,1
870,52398,456463.80323608,1
871,52420,457278.187758572,1
872,52430,459396.892331858,1
873,52445,459073.292594797,1
874,52455,459241.11596378,1
875,52483,460774.339181327,1
876,52511,457340.191081977,1
877,52530,459014.452610618,1
878,52556,457689.611512054,1
879,52564,460210.571944057,1
880,52566,461592.748725097,1
881,52587,460790.471624381,1
882,52588,462309.403921061,1
883,52596,461358.571494357,1
884,52597,459007.493073705,1
885,52610,460372.366766564,1
886,52617,457151.427455299,1
887,52621,459561.294519017,1
888,52643,459614.863999477,1
889,52670,461794.84717412,1
890,52674,462272.574410093,1
891,52678,461593.505360643,1
892,52683,457933.551968024,1
893,52704,460651.426419642,1
894,52708,462034.282463009,1
895,52729,461569.237153783,1
896,52741,462051.439895372,1
897,52764,459759.008240763,1
898,52784,461998.002955459,1
899,52805,464933.764840717,1
900,52817,462727.454139719,1
901,52821,463571.503671242,1
902,52850,461180.38006797,1
903,52850,462797.650091755,1
904,52867,463530.376420842,1
905,52868,462534.775419277,1
906,52896,461502.583783808,1
907,52898,462904.119183098,1
908,52911,461672.763572397,1
909,52915,463803.403890683,1
910,52939,462228.067439439,1
911,52944,466062.531976172,1
912,52972,463235.640846662,1
913,52993,464326.970092849,1
914,53011,464619.273141013,1
915,53034,465263.704335409,1
916,53053,464928.492676319,1
917,53060,463905.558089391,1
918,53066,465044.49641878,1
919,53072,465862.060262816,1
920,53102,463540.203935055,1
921,53106,466068.283736443,1
922,53130,464786.918267994,1
923,53132,466907.464754739,1
924,53148,463358.846165716,1
925,53175,465151.671735619,1
926,53175,463292.114701809,1
927,53204,468072.983133186,1
928,53232,467151.553761715,1
929,53248,465008.067292943,1
930,53254,466030.219517486,1
931,53260,466982.800602942,1
932,53284,467519.671751911,1
933,53297,463522.832270977,1
934,53308,465926.650215449,1
935,53308,465883.199244194,1
936,53337,465913.162705694,1
937,53358,465391.778476185,1
938,53371,466572.965204886,1
939,53371,465088.357429323,1
940,53376,466747.78116689,1
941,53389,468402.590353198,1
942,53413,467725.037591347,1
943,53441,469016.551823565,1
944,53445,468125.297991819,1
945,53469,465114.036437685,1
946,53487,467764.805246421,1
947,53509,470515.642012993,1
948,53537,467978.970003439,1
949,53552,469182.013604939,1
950,53580,467197.181042073,1
951,53592,468016.414814006,1
952,53614,469633.49877796,1
953,53627,470094.15786411,1
954,53631,469022.752806109,1
955,53653,470534.262468876,1
956,53671,470309.946488377,1
957,53681,470892.088497281,1
958,53686,468891.038616922,1
959,53712,469607.185530942,1
960,53713,470594.485859124,1
961,53737,468868.00003062,1
962,53740,468669.755077345,1
963,53756,470188.17490718,1
964,53758,469043.91315455,1
965,53772,469763.563663561,1
966,53782,470126.603633849,1
967,53791,470723.464552633,1
968,53821,470105.341956295,1
969,53830,472273.885848225,1
970,53857,470348.392947156,1
971,53884,470757.718232337,1
972,53884,470517.156175729,1
973,53894,472119.804598881,1
974,53905,473046.623016503,1
975,53911,471178.791502867,1
976,53914,472575.616220408,1
977,53939,473637.876928302,1
978,53943,470162.005856265,1
979,53960,474085.940977485,1
980,53988,474361.685602021,1
981,53999,473766.510139291,1
982,54010,473371.51897943,1
983,54039,473383.489208522,1
984,54048,473411.195962556,1
985,54064,473194.941604304,1
986,54068,473995.494338497,1
987,54082,472506.392458662,1
988,54085,473026.597914621,1
989,54103,472771.629565024,1
990,54115,472279.133220966,1
991,54140,473836.977254867,1
992,54156,476214.59608664,1
993,54178,474506.946236026,1
994,54200,475408.107870465,1
995,54207,474525.35929324,1
996,54227,475583.084509923,1
997,54247,474622.306673705,1
998,54261,473549.031860043,1
